run_id,ablation,task_id,bundle_relpath,has_replay_report,replay_report_relpath
20260305_105139,A1,rf_mwp_000142,bundles/20260305_105139/seed42/A1/rf_mwp_000142,0,
20260305_105139,A1,rf_mwp_000143,bundles/20260305_105139/seed42/A1/rf_mwp_000143,0,
20260305_105139,A1,rf_mwp_000144,bundles/20260305_105139/seed42/A1/rf_mwp_000144,0,
20260305_105139,A1,rf_mwp_000145,bundles/20260305_105139/seed42/A1/rf_mwp_000145,0,
20260305_105139,A1,rf_mwp_000146,bundles/20260305_105139/seed42/A1/rf_mwp_000146,0,
20260305_105139,A1,rf_mwp_000147,bundles/20260305_105139/seed42/A1/rf_mwp_000147,0,
20260305_105139,A1,rf_mwp_000148,bundles/20260305_105139/seed42/A1/rf_mwp_000148,0,
20260305_105139,A1,rf_mwp_000149,bundles/20260305_105139/seed42/A1/rf_mwp_000149,0,
20260305_105139,A2,rf_mwp_000140,bundles/20260305_105139/seed42/A2/rf_mwp_000140,0,
20260305_105139,A2,rf_mwp_000141,bundles/20260305_105139/seed42/A2/rf_mwp_000141,0,
20260305_105139,A2,rf_mwp_000142,bundles/20260305_105139/seed42/A2/rf_mwp_000142,0,
20260305_105139,A2,rf_mwp_000143,bundles/20260305_105139/seed42/A2/rf_mwp_000143,0,
20260305_105139,A2,rf_mwp_000144,bundles/20260305_105139/seed42/A2/rf_mwp_000144,0,
20260305_105139,A2,rf_mwp_000145,bundles/20260305_105139/seed42/A2/rf_mwp_000145,0,
20260305_105139,A2,rf_mwp_000146,bundles/20260305_105139/seed42/A2/rf_mwp_000146,0,
20260305_105139,A2,rf_mwp_000147,bundles/20260305_105139/seed42/A2/rf_mwp_000147,0,
20260305_105139,A2,rf_mwp_000148,bundles/20260305_105139/seed42/A2/rf_mwp_000148,0,
20260305_105139,A2,rf_mwp_000149,bundles/20260305_105139/seed42/A2/rf_mwp_000149,0,
20260305_105139,A3,rf_mwp_000140,bundles/20260305_105139/seed42/A3/rf_mwp_000140,0,
20260305_105139,A3,rf_mwp_000141,bundles/20260305_105139/seed42/A3/rf_mwp_000141,0,
20260305_105139,A3,rf_mwp_000142,bundles/20260305_105139/seed42/A3/rf_mwp_000142,0,
20260305_105139,A3,rf_mwp_000143,bundles/20260305_105139/seed42/A3/rf_mwp_000143,0,
20260305_105139,A3,rf_mwp_000144,bundles/20260305_105139/seed42/A3/rf_mwp_000144,0,
20260305_105139,A3,rf_mwp_000145,bundles/20260305_105139/seed42/A3/rf_mwp_000145,0,
20260305_105139,A3,rf_mwp_000146,bundles/20260305_105139/seed42/A3/rf_mwp_000146,0,
20260305_105139,A3,rf_mwp_000147,bundles/20260305_105139/seed42/A3/rf_mwp_000147,0,
20260305_105139,A3,rf_mwp_000148,bundles/20260305_105139/seed42/A3/rf_mwp_000148,0,
20260305_105139,A3,rf_mwp_000149,bundles/20260305_105139/seed42/A3/rf_mwp_000149,0,
20260305_145803,A1,rf_mwp_000150,bundles/20260305_145803/seed42/A1/rf_mwp_000150,0,
20260305_145803,A1,rf_mwp_000151,bundles/20260305_145803/seed42/A1/rf_mwp_000151,0,
20260305_145803,A1,rf_mwp_000152,bundles/20260305_145803/seed42/A1/rf_mwp_000152,0,
20260305_145803,A1,rf_mwp_000153,bundles/20260305_145803/seed42/A1/rf_mwp_000153,0,
20260305_145803,A1,rf_mwp_000154,bundles/20260305_145803/seed42/A1/rf_mwp_000154,0,
20260305_145803,A1,rf_mwp_000155,bundles/20260305_145803/seed42/A1/rf_mwp_000155,0,
20260305_145803,A1,rf_mwp_000156,bundles/20260305_145803/seed42/A1/rf_mwp_000156,0,
20260305_145803,A1,rf_mwp_000157,bundles/20260305_145803/seed42/A1/rf_mwp_000157,0,
20260305_145803,A1,rf_mwp_000158,bundles/20260305_145803/seed42/A1/rf_mwp_000158,0,
20260305_145803,A1,rf_mwp_000159,bundles/20260305_145803/seed42/A1/rf_mwp_000159,0,
20260305_145803,A2,rf_mwp_000150,bundles/20260305_145803/seed42/A2/rf_mwp_000150,0,
20260305_145803,A2,rf_mwp_000151,bundles/20260305_145803/seed42/A2/rf_mwp_000151,0,
20260305_145803,A2,rf_mwp_000152,bundles/20260305_145803/seed42/A2/rf_mwp_000152,0,
20260305_145803,A2,rf_mwp_000153,bundles/20260305_145803/seed42/A2/rf_mwp_000153,0,
20260305_145803,A2,rf_mwp_000154,bundles/20260305_145803/seed42/A2/rf_mwp_000154,0,
20260305_145803,A2,rf_mwp_000155,bundles/20260305_145803/seed42/A2/rf_mwp_000155,0,
20260305_145803,A2,rf_mwp_000156,bundles/20260305_145803/seed42/A2/rf_mwp_000156,0,
20260305_145803,A2,rf_mwp_000157,bundles/20260305_145803/seed42/A2/rf_mwp_000157,0,
20260305_145803,A2,rf_mwp_000158,bundles/20260305_145803/seed42/A2/rf_mwp_000158,0,
20260305_145803,A2,rf_mwp_000159,bundles/20260305_145803/seed42/A2/rf_mwp_000159,0,
20260305_145803,A3,rf_mwp_000150,bundles/20260305_145803/seed42/A3/rf_mwp_000150,0,
20260305_145803,A3,rf_mwp_000151,bundles/20260305_145803/seed42/A3/rf_mwp_000151,0,
20260305_145803,A3,rf_mwp_000152,bundles/20260305_145803/seed42/A3/rf_mwp_000152,0,
20260305_145803,A3,rf_mwp_000153,bundles/20260305_145803/seed42/A3/rf_mwp_000153,0,
20260305_145803,A3,rf_mwp_000154,bundles/20260305_145803/seed42/A3/rf_mwp_000154,0,
20260305_145803,A3,rf_mwp_000155,bundles/20260305_145803/seed42/A3/rf_mwp_000155,0,
20260305_145803,A3,rf_mwp_000156,bundles/20260305_145803/seed42/A3/rf_mwp_000156,0,
20260305_145803,A3,rf_mwp_000157,bundles/20260305_145803/seed42/A3/rf_mwp_000157,0,
20260305_145803,A3,rf_mwp_000158,bundles/20260305_145803/seed42/A3/rf_mwp_000158,0,
20260305_145803,A3,rf_mwp_000159,bundles/20260305_145803/seed42/A3/rf_mwp_000159,0,
20260305_185605,A1,rf_mwp_000160,bundles/20260305_185605/seed42/A1/rf_mwp_000160,0,
20260305_185605,A1,rf_mwp_000161,bundles/20260305_185605/seed42/A1/rf_mwp_000161,0,
20260305_185605,A1,rf_mwp_000162,bundles/20260305_185605/seed42/A1/rf_mwp_000162,0,
20260305_185605,A1,rf_mwp_000163,bundles/20260305_185605/seed42/A1/rf_mwp_000163,0,
20260305_185605,A1,rf_mwp_000164,bundles/20260305_185605/seed42/A1/rf_mwp_000164,0,
20260305_185605,A1,rf_mwp_000165,bundles/20260305_185605/seed42/A1/rf_mwp_000165,0,
20260305_185605,A1,rf_mwp_000166,bundles/20260305_185605/seed42/A1/rf_mwp_000166,0,
20260305_185605,A1,rf_mwp_000167,bundles/20260305_185605/seed42/A1/rf_mwp_000167,0,
20260305_185605,A1,rf_mwp_000168,bundles/20260305_185605/seed42/A1/rf_mwp_000168,0,
