run_id,ablation,task_id,bundle_relpath,has_replay_report,replay_report_relpath
20260220_095005,A1,hard2_angular_sort,bundles/20260220_095005/seed42/A1/hard2_angular_sort,0,
20260220_095005,A1,ss_010,bundles/20260220_095005/seed42/A1/ss_010,0,
20260220_095005,A1,ss_007,bundles/20260220_095005/seed42/A1/ss_007,0,
20260220_095005,A1,adjacent_hanoi,bundles/20260220_095005/seed42/A1/adjacent_hanoi,0,
20260220_095005,A1,wildcard_match,bundles/20260220_095005/seed42/A1/wildcard_match,0,
20260220_095005,A2,hard2_angular_sort,bundles/20260220_095005/seed42/A2/hard2_angular_sort,0,
20260220_095005,A2,ss_010,bundles/20260220_095005/seed42/A2/ss_010,0,
20260220_095005,A2,ss_007,bundles/20260220_095005/seed42/A2/ss_007,0,
20260220_095005,A2,adjacent_hanoi,bundles/20260220_095005/seed42/A2/adjacent_hanoi,0,
20260220_095005,A2,wildcard_match,bundles/20260220_095005/seed42/A2/wildcard_match,0,
20260220_095005,A3,hard2_angular_sort,bundles/20260220_095005/seed42/A3/hard2_angular_sort,0,
20260220_095005,A3,ss_010,bundles/20260220_095005/seed42/A3/ss_010,0,
20260220_095005,A3,ss_007,bundles/20260220_095005/seed42/A3/ss_007,0,
20260220_095005,A3,adjacent_hanoi,bundles/20260220_095005/seed42/A3/adjacent_hanoi,0,
20260220_095005,A3,wildcard_match,bundles/20260220_095005/seed42/A3/wildcard_match,0,
20260220_095005,A1,hard2_angular_sort,bundles/20260220_095005/seed100/A1/hard2_angular_sort,0,
20260220_095005,A1,ss_010,bundles/20260220_095005/seed100/A1/ss_010,0,
20260220_095005,A1,ss_007,bundles/20260220_095005/seed100/A1/ss_007,0,
20260220_095005,A1,adjacent_hanoi,bundles/20260220_095005/seed100/A1/adjacent_hanoi,0,
20260220_095005,A1,wildcard_match,bundles/20260220_095005/seed100/A1/wildcard_match,0,
20260220_095005,A2,hard2_angular_sort,bundles/20260220_095005/seed100/A2/hard2_angular_sort,0,
20260220_095005,A2,ss_010,bundles/20260220_095005/seed100/A2/ss_010,0,
20260220_095005,A2,ss_007,bundles/20260220_095005/seed100/A2/ss_007,0,
20260220_095005,A2,adjacent_hanoi,bundles/20260220_095005/seed100/A2/adjacent_hanoi,0,
20260220_095005,A2,wildcard_match,bundles/20260220_095005/seed100/A2/wildcard_match,0,
20260220_095005,A3,hard2_angular_sort,bundles/20260220_095005/seed100/A3/hard2_angular_sort,0,
20260220_095005,A3,ss_010,bundles/20260220_095005/seed100/A3/ss_010,0,
20260220_095005,A3,ss_007,bundles/20260220_095005/seed100/A3/ss_007,0,
20260220_095005,A3,adjacent_hanoi,bundles/20260220_095005/seed100/A3/adjacent_hanoi,0,
20260220_095005,A3,wildcard_match,bundles/20260220_095005/seed100/A3/wildcard_match,0,
20260220_095005,A1,hard2_angular_sort,bundles/20260220_095005/seed200/A1/hard2_angular_sort,0,
20260220_095005,A1,ss_010,bundles/20260220_095005/seed200/A1/ss_010,0,
20260220_095005,A1,ss_007,bundles/20260220_095005/seed200/A1/ss_007,0,
20260220_095005,A1,adjacent_hanoi,bundles/20260220_095005/seed200/A1/adjacent_hanoi,0,
20260220_095005,A1,wildcard_match,bundles/20260220_095005/seed200/A1/wildcard_match,0,
20260220_095005,A2,hard2_angular_sort,bundles/20260220_095005/seed200/A2/hard2_angular_sort,0,
20260220_095005,A2,ss_010,bundles/20260220_095005/seed200/A2/ss_010,0,
20260220_095005,A2,ss_007,bundles/20260220_095005/seed200/A2/ss_007,0,
20260220_095005,A2,adjacent_hanoi,bundles/20260220_095005/seed200/A2/adjacent_hanoi,0,
20260220_095005,A2,wildcard_match,bundles/20260220_095005/seed200/A2/wildcard_match,0,
20260220_095005,A3,hard2_angular_sort,bundles/20260220_095005/seed200/A3/hard2_angular_sort,0,
20260220_095005,A3,ss_010,bundles/20260220_095005/seed200/A3/ss_010,0,
20260220_095005,A3,ss_007,bundles/20260220_095005/seed200/A3/ss_007,0,
20260220_095005,A3,adjacent_hanoi,bundles/20260220_095005/seed200/A3/adjacent_hanoi,0,
20260220_095005,A3,wildcard_match,bundles/20260220_095005/seed200/A3/wildcard_match,0,
