task_id,task_name,A1_solved,A1_solve_rate,A1_median_best_round_solved,A1_mean_best_round_solved,A1_rounds_used_mean,A2_solved,A2_solve_rate,A2_median_best_round_solved,A2_mean_best_round_solved,A2_rounds_used_mean,A3_solved,A3_solve_rate,A3_median_best_round_solved,A3_mean_best_round_solved,A3_rounds_used_mean
adjacent_hanoi,Adjacent-Peg Tower of Hanoi,2/3,0.6667,5.0,5.0,6.0,2/3,0.6667,5.5,5.5,6.0,3/3,1.0,6,5.6667,6.0
hard2_angular_sort,hard2_angular_sort,0/3,0.0,,,6.0,3/3,1.0,6,5.0,6.0,3/3,1.0,6,5.3333,6.0
ss_007,Task Scheduler,2/3,0.6667,6.0,6.0,6.0,3/3,1.0,6,6.0,6.0,3/3,1.0,6,6.0,6.0
ss_010,Basic Calculator III,0/3,0.0,,,6.0,0/3,0.0,,,6.0,1/3,0.3333,6,6.0,6.0
wildcard_match,Wildcard Pattern Matching,2/3,0.6667,6.0,6.0,6.0,3/3,1.0,6,6.0,6.0,3/3,1.0,6,6.0,6.0
