run_id,ablation,task_name,bundle_relpath,policy_id,policy_path,policy_sha256,verifier_pack_path,verifier_pack_sha256,decision_function_path,decision_function_sha256
20260216_145600,A1,Valid Parenthesis String,bundles/20260216_145600/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145600,A2,Valid Parenthesis String,bundles/20260216_145600/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145600,A3,Valid Parenthesis String,bundles/20260216_145600/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145812,A1,Valid Parenthesis String,bundles/20260216_145812/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145812,A2,Valid Parenthesis String,bundles/20260216_145812/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145812,A3,Valid Parenthesis String,bundles/20260216_145812/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145940,A1,Valid Parenthesis String,bundles/20260216_145940/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145940,A2,Valid Parenthesis String,bundles/20260216_145940/A2/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145940,A3,Valid Parenthesis String,bundles/20260216_145940/A3/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
20260216_145606,A1,Valid Parenthesis String,bundles/20260216_145606/A1/ss_004,agice-governance-v1.0.1,policies/governance_policy.v1.0.1.yaml,762406f7628a71584aace398e8387c5ad11a1e8603a0edcc824f46c7eacbeaf9,policies/verifier_pack.v1.0.1.yaml,720a4a0b3e5dcf6f3ad235abf63d748b59efacaaeca9f249e74ce325966a76b6,policies/decision_function.v1.0.1.md,6d5a7f4164ad4e907c35e7e5a4e3afccc3f0c42d21a4e11262bcd2f62644b5cb
